gene	RVIS
EIF3B	-0.62
EIF2B4	-0.76
PCDH18	-1.26
AMIGO2	-0.82
TMEM39B	-0.82
DCAF15	-0.57
DAAM1	-1.55
KDM2B	-2.17
NOC4L	-1.28
CHD1	-0.81
UBN2	-0.55
ITSN1	-2.01
PTK7	-0.77
DNM3	-1.11
KAT5	-0.78
LGI1	-0.71
UBASH3A	-0.88
CTSD	-0.58
MSH2	-2.03
FZD10	-0.91
KIAA1244	-2.22
KIAA0319L	-0.84
BRD3	-0.71
MAPKAP1	-0.71
NFE2L1	-1.46
PELI2	-0.6
LRP8	-0.88
ZMYM4	-1.02
FADS3	-0.6
ZNF398	-0.57
PHF17	-0.51
SOGA3	-0.58
SH3BP4	-0.72
KLF3	-0.74
SNAP91	-0.57
NPAS2	-0.51
ACO2	-1.0
SYVN1	-0.73
PSMD6	-0.6
FLNB	-1.44
SUCO	-1.24
ANKIB1	-0.73
NLGN1	-1.4
CILP2	-1.08
EXOC7	-0.93
CHSY3	-0.73
RPL3	-0.76
KCNG1	-0.63
TIPARP	-0.67
GABRB2	-0.69
R3HDM2	-0.6
SMO	-0.57
ZNF8	-0.57
ZNF148	-0.54
TIAM1	-0.91
URGCP	-0.51
CD22	-0.55
SSRP1	-0.76
ZNF569	-0.82
TTBK1	-0.46
REL	-0.69
ZNF174	-0.69
USP43	-0.81
HIST1H1E	-1.2
APCDD1	-1.37
NFAT5	-1.37
NXN	-0.82
UNC5A	-0.84
GIT2	-0.51
NLGN3	-0.54
COPB2	-0.93
GOLGA3	-0.57
PAPPA	-1.4
SV2B	-1.17
PRPF19	-0.56
ERG	-0.6
MPPED1	-0.58
SLC36A1	-0.62
CUL1	-0.52
RAP1GAP2	-1.13
SATB1	-0.58
KAZN	-0.51
CARD11	-1.39
MON2	-0.83
EIF2AK2	-0.67
KBTBD2	-0.67
GABRD	-0.51
RASA3	-1.66
NCSTN	-0.58
RALGAPB	-0.95
PHYHIP	-0.6
CASP2	-0.65
SH3GL1	-1.02
PHF15	-0.48
SULF2	-1.59
SNPH	-0.64
STAT3	-0.49
RTEL1	-2.48
STK11	-0.54
PLVAP	-0.57
RAPGEF6	-1.67
SMCR7	-0.53
ANKRD13B	-0.76
ZNF250	-0.76
WWP1	-0.69
TCF4	-0.56
NTRK2	-0.49
WNK3	-1.33
RLTPR	-1.12
THRAP3	-0.62
ATF2	-0.71
ISLR2	-0.6
POU4F2	-0.6
ROR1	-1.59
UNC79	-1.11
SLC18A3	-0.75
ACD	-0.6
ACHE	-0.6
SPRTN	-0.58
ARHGAP6	-0.56
CREBRF	-0.82
HNRNPL	-0.63
TMEM57	-0.63
C10orf137	-0.77
GARS	-0.71
MGAT5B	-0.93
NCOA1	-2.19
KCNH1	-1.09
OXR1	-1.09
SEC61A1	-0.54
WBSCR17	-1.22
GATA3	-0.65
TSPAN9	-0.65
PEX5L	-0.98
RCC2	-0.67
ANKRD52	-0.91
E4F1	-0.73
LAMB2	-1.46
PALM	-0.78
RPH3A	-1.48
BCORL1	-2.12
DLC1	-0.44
CUX2	-2.08
LRFN2	-1.24
RAP1GAP	-0.73
SEMA6D	-0.73
IRF4	-0.6
FBXL7	-0.67
SYNGR1	-0.67
LDB3	-0.9
BRWD3	-0.49
MBD6	-1.46
GNB2	-0.49
FOSL2	-0.69
ERBB2	-0.59
TMCC2	-1.06
ZMYND8	-1.44
HOOK1	-0.62
ATP13A3	-0.97
PRMT1	-0.56
CAMK2A	-0.54
FRYL	-2.42
BMP1	-1.96
PIK3R2	-0.53
MAP4K2	-1.04
F10	-0.55
DHX37	-1.05
CNOT1	-1.9
MCM6	-0.57
BRAF	-0.6
LRRTM2	-0.6
LARP4	-0.75
MAPKAPK5	-0.63
ATG2A	-1.06
UBR3	-1.04
ACLY	-0.77
KCNH3	-0.88
DCAF8	-0.65
INTS10	-0.51
PPP1R13B	-1.79
LNX1	-1.19
